^:<name=sn3 footnote=bk>	note
1	၁။ ဒိဋ္ဌိစေတသိက်ဟူသော သင်္ခါရတည်း။
2	၁။ ဒိဋ္ဌိစေတသိက်ဟူသော သင်္ခါရတည်း။
3	၁။ မင်းမျိုးနှင့် ပုဏ္ဏားမျိုးစပ်၍ မွေးဖွားသော မိန်းမကို ဝေလာမအမျိုးဟု ဆိုသည်။
