^:<name=an10 footnote=bk>	note
1	၁။ အရဟတ္တဖိုလ်ဉာဏ်သည် ဝိဇ္ဇာမည်၏၊ ကြွင်းသော သမ္ပယုတ်တရားသည် ဝိမုတ္တိမည်၏။
2	၁။ ၁-တို့= (၄) တင်း၊တို့-၂၀= တင်း (၈၀) ရှိသည်။
3	၁။ စုတိစိတ်ကျပြီးမှသာ ဘဝတစ်ခုခု၌ ပဋိသန္ဓေစိတ်ဖြစ်နိုင်ခွင့်ရ၍ လူ နတ် စသော သတ္တဝါ ဖြစ်လာရသည်ကို ရန်ညွှန်း သည်။
4	၁။ စုတိစိတ်ကျပြီးမှသာ ဘဝတစ်ခုခု၌ ပဋိသန္ဓေစိတ်ဖြစ်နိုင်ခွင့်ရ၍ လူ နတ် စသော သတ္တဝါ ဖြစ်လာရသည်ကို ရန်ညွှန်း သည်။
5	၁။ စုတိစိတ်ကျပြီးမှသာ ဘဝတစ်ခုခု၌ ပဋိသန္ဓေစိတ်ဖြစ်နိုင်ခွင့်ရ၍ လူ နတ် စသော သတ္တဝါ ဖြစ်လာရသည်ကို ရန်ညွှန်း သည်။
6	၁။ စုတိစိတ်ကျပြီးမှသာ ဘဝတစ်ခုခု၌ ပဋိသန္ဓေစိတ်ဖြစ်နိုင်ခွင့်ရ၍ လူ နတ် စသော သတ္တဝါ ဖြစ်လာရသည်ကို ရန်ညွှန်း သည်။
