^:<name=sn4 footnote=bk>	note
1	၁။ အတ္တမှလည်းကောင်း၊
2	၂။ (အတ္တ၏ ဥစ္စာ) အတ္တနိယမှလည်းကောင်း။
3	၁။ အတ္တမှလည်းကောင်း၊
4	၂။ (အတ္တ၏ ဥစ္စာ) အတ္တနိယမှလည်းကောင်း။
5	၁။ နွားနှစ်ကောင်သည် = သံယောဇနိယ၊
6	၁။ နွားနှစ်ကောင်သည် = သံယောဇနိယ၊
7	၂။ ကြိုးသည် = သံယောဇန
8	၁။ နွားနှစ်ကောင်သည် = သံယောဇနိယ၊
9	၂။ ကြိုးသည် = သံယောဇန
10	၁။ နွားနှစ်ကောင်သည် = သံယောဇနိယ၊
11	၁။ နွားနှစ်ကောင်သည် = သံယောဇနိယ၊
12	၂။ ကြိုးသည် = သံယောဇန
13	 ၁။ တစ်သူ=လက်ခုပ်တစ်ဖေါင်၊
